"id","material"
1145,"Sweet Gum"
1146,"Cherry"
1147,"Spalted Maple Burl"
1148,"Spalted tulip Poplar"
1149,"Spalted Pecan"
1150,"Cherry"
1151,"Ambrosia Maple"
1152,"Sycamore"
1153,"Cedar"
1154,"Pecan"
1155,"Box Elder"
1156,"Cherry"
1157,"Box Elder w/ River Stone"
1158,"Pecan"
1159,"Spalted Sycamore"
1160,"Ambrosia Maple"
1161,"Pecan"
1162,"Black Jack Oak"
1163,"Sycamore"
1164,"Cherry"
1165,"Sycamore"
1166,"Spalted Maple"
1167,"Cherry"
1168,"Sycamore"
1169,"Sycamore"
1170,"Box Elder"
1171,"Pecan"
1172,"Pecan w/ Dogwood Inlay"
1173,"Pecan and Steel"
1174,"Box Elder and Steel"
1175,"Ambrosia Maple Burl"
1176,"Spalted Pecan"
1177,"Test Order Purposes Only"
1178,"Red Oak Burl with Malachite Inlay"
1179,"Red Oak Burl"
1180,"Black Walnut"
1181,"Birch"
1182,"Birch"
1183,"Maple Burl"
1184,"Ambrosia Maple Burl"
1185,"Spalted Pecan"
1186,"Pecan"
1187,"Vermont Curly Maple"
1188,"Black Walnut"
1189,"Tulip Poplar"
1190,"Camphor"
1191,"Black Walnut"
1192,"Camphor"
1193,"Black Walnut"
1194,"Black Walnut"
1195,"Flame Embellished Ash"
1196,"Pecan"
1197,"Box Elder "
1198,"Box Elder"
1199,"Box Elder"
1200,"Box Elder"
1201,"Box Elder"
1202,"Box Elder"
1203,"Pecan"
1204,"Cherry"
1205,"Box Elder"
1206,"Box Elder"
1207,"Box Elder"
1208,"Box Elder"
1209,"Box Elder"
1210,"Box Elder"
1211,"Box Elder"
1212,"Cherry"
1213,"Cherry"
1214,"Cherry"
1215,"Beech w/ Black Mica Inlay"
1216,"Sycamore w/ Raised Dog Paw"
1217,"Box Elder w/ Dog Paw Imprint"
1218,"Pecan with Eagle & Flag Pyrography"
1219,"Tulip Poplar"
1220,"Box Elder"
1221,"Box Elder"
1222,"Red Oak Burl"
1223,"Pecan"
1224,"Ambrosia Maple Burl"
1225,"Ambrosia Maple Burl"
1226,"Magnolia"
1227,"Cherry"
1228,"Ambrosia Maple Burl"
1229,"Camphor"
1230,"Vermont Maple"
1231,"Magnolia"
1232,"Tulip Poplar"
1233,"Cherry"
1234,"Tulip Poplar"
1235,"Cedar"
1236,"Red Oak Burl"
1237,"Magnolia"
1238,"Red Oak Burl"
1240,"Red Oak Burl"
1241,"Cherry Burl"
1242,"Black Walnut"
1243,"Hickory"
1244,"Ambrosia Maple Burl"
1245,"Spalted Maple Burl"
1246,"Tulip Poplar"
1247,"Box Elder"
1248,"Cherry"
1249,"Maple Burl"
1250,"Ambrosia Maple"
1251,"Spalted Maple"
1253,"Red Oak Burl"
1254,"Ambrosia Maple Burl"
1255,"Spalted Pecan"
1256,"Camphor"
1257,"Cherry"
1258,"Camphor"
1259,"Tulip Poplar"
1260,"Magnolia"
1261,"Black Walnut"
1262,"Ambrosia Maple"
1263,"Chamber for Relics"
1264,"Black/Cherry/Pecan/Maple"
